NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
PT111,-0.018721371344276552,-0.028491703021458682,-0.014267947784664461,-0.0058951566739487045,86,0.221,0.453,0.976,0.098,1
PT112,-0.25344926366641984,-0.3641610248759196,-0.19919008998836188,-0.08785839235681209,48,0.938,0.484,0.961,0.436,3
PT119,-1.0059865063508353,-1.1522678363141812,-0.9467750547869047,-0.4873474134655112,20,1.0,0.763,1.0,0.763,4
PT11A,-0.04070295199406674,-0.05435213162448835,-0.032900365292430456,-0.0160225706661671,110,0.555,0.311,0.682,0.118,1
PT11B,-0.09460561979765188,-0.14615472509454608,-0.06835752725094989,-0.03508895249342912,88,0.83,0.397,0.046,0.015,1
PT11C,-0.013779777010143289,-0.01943851736644561,-0.011038802934003387,-0.004468728567462406,57,0.14,0.615,0.956,0.082,1
PT11D,-0.023430950958315395,-0.033289079822565376,-0.01973489271273962,-0.005912650829702919,56,0.339,0.885,0.807,0.242,2
PT11E,-0.34360861600716797,-0.43567913616710696,-0.3576979005026093,-0.2645566791238304,44,0.955,0.889,0.795,0.675,4
PT150,-1.4101785565091203,-1.6338284232184035,-0.5840599411856657,-0.3444969982261865,13,0.923,0.95,0.127,0.111,1
PT16B,-26.211234122030586,-26.211234122030586,-26.211234122030586,-26.211234122030586,1,1.0,0.353,0.337,0.119,1
PT16D,-1.5693677878747627,-2.166275050415784,-0.6041258812094712,-0.5713228349147792,15,1.0,1.0,0.996,0.996,5
PT16E,-0.09686554380460866,-0.13527245646328115,-0.07465873009458657,-0.045691885836042986,84,0.833,0.438,0.174,0.063,1
PT16F,-0.9840276994343173,-1.5173361486398884,-0.5222839429007158,-0.37819943395715383,18,0.944,0.165,0.397,0.062,1
PT16G,-0.03078769103105814,-0.0402887624992813,-0.026079748447500536,-0.012965829216394279,87,0.425,0.63,0.987,0.264,2
PT16H,-0.03974720919264215,-0.052267390408012517,-0.03847098284382224,-0.022559271436460568,84,0.631,0.101,0.417,0.027,1
PT16I,-12.874845199578239,-14.8136379146209,-12.874845199578239,-10.93605248453558,2,1.0,1.0,0.228,0.228,2
PT16J,-0.06643873476778116,-0.09304020906581771,-0.051750995396848194,-0.031165309173783844,89,0.775,0.278,0.947,0.204,2
PT170,-28.96879909422043,-28.96879909422043,-28.96879909422043,-28.96879909422043,1,1.0,0.962,0.01,0.01,1
PT181,-0.5355192145756112,-0.621000702764487,-0.3955719767476725,-0.3038608809960884,30,1.0,0.642,0.985,0.632,4
PT184,-0.019361255220841627,-0.022664096005415375,-0.01127724135933103,-0.005272924146213339,86,0.186,0.528,0.853,0.084,1
PT185,-0.02335042325164065,-0.03270406564384837,-0.01905760396653673,-0.011280019560434527,75,0.333,0.465,0.889,0.138,1
PT186,-0.05490261835857967,-0.06951599612276751,-0.049098949491190355,-0.029219070214635837,91,0.747,0.513,0.77,0.295,2
PT187,-0.14457364548922072,-0.20656127032540722,-0.10370843458327544,-0.06343353830165892,70,0.929,1.0,0.298,0.277,2
