NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
RS110,-0.5999203765169934,-0.8088451510466829,-0.43127036680186226,-0.18395341941018944,23,1.0
RS121,-0.042457125742876266,-0.06536198909791417,-0.026861670462528752,-0.01109670686177403,69,0.522
RS122,-0.022463432660274223,-0.036022706661419615,-0.017077772275523307,-0.008323301883291587,71,0.38
RS123,-0.1390592287330573,-0.21262748044325808,-0.10425770657775527,-0.04998961145830824,71,0.915
RS124,-10.267717797505576,-13.314839575891538,-10.267717797505576,-7.220596019119611,2,1.0
RS125,-0.23745790107625125,-0.3365030802611678,-0.2358736643587445,-0.047844860263355646,52,0.885
RS126,-0.027194123018759224,-0.03548627760891278,-0.020830315768111823,-0.008869530542362026,102,0.451
RS127,-0.017129698205532486,-0.026070644031405427,-0.011956744108878417,-0.0053133149210891645,45,0.267
RS211,-0.027423885822968206,-0.04122823403105409,-0.02021590056561939,-0.011299426593733002,21,0.476
RS212,-0.053487925152209896,-0.07197615095397664,-0.03121628070159927,-0.011695958146217284,109,0.56
RS213,-0.30727700431151805,-0.33465404305099694,-0.27129031130262093,-0.18548769946599553,41,0.829
RS214,-0.2965858669483933,-0.40778272764228557,-0.3162950286523969,-0.15642484611069216,42,0.976
RS215,-0.22408784801994044,-0.3239034596351241,-0.20595022329206464,-0.10171129936623952,50,0.96
RS216,-0.026459995351748075,-0.03504573330479659,-0.01908539079424125,-0.0068801422343485845,90,0.433
RS217,-0.04323742389491101,-0.056558949232072775,-0.0287864234386078,-0.011561020091916247,97,0.526
RS218,-0.3958902493999771,-0.5739256521717214,-0.40413082316566623,-0.19664974340282423,33,0.909
RS221,-0.018233981464833515,-0.026819202817553286,-0.012462533824277665,-0.005393459335901236,52,0.269
RS222,-0.06731686627406067,-0.09427786537184381,-0.040224315939939415,-0.021053250430131676,109,0.679
RS223,-0.0500047851954175,-0.07313828641811568,-0.03038536391041139,-0.01188166554821833,109,0.55
RS224,-0.33475777390102457,-0.4129673788972053,-0.27875719375573604,-0.10964321254595767,38,0.947
RS225,-0.973681417298007,-1.3480997521105127,-0.748068503464401,-0.47189710136730784,16,1.0
RS226,-0.019671905649756145,-0.02933760396314055,-0.01661774145668114,-0.00738789093415468,76,0.329
RS227,-0.0578289245928029,-0.07883709497872654,-0.03168804672123915,-0.015356135065499724,127,0.559
RS228,-0.07667851002827324,-0.12833364388462223,-0.04937929258597695,-0.014920334066885584,103,0.66
RS229,-0.09250928034314568,-0.153343364405093,-0.051046024099414146,-0.026847138038277586,91,0.78
