NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
SI044,-0.08333141980734247,-0.11556201479017017,-0.05949661683614674,-0.02846519423663015,117,0.752
SI041,-0.06714604689907518,-0.09818430076903985,-0.04481015591052521,-0.019490876979183065,126,0.643
SI042,-0.08495994298484523,-0.12395003267869999,-0.05078532512197515,-0.027858246293765626,115,0.757
SI043,-0.08818096872253092,-0.12283487138388804,-0.05364658253185627,-0.029511264183257644,115,0.765
SI031,-0.07850584430591523,-0.1075872462779041,-0.06409398285314934,-0.028111626238465675,109,0.761
SI032,-0.07827257673236325,-0.11073023883629345,-0.05461089954403557,-0.028586255200916566,112,0.759
SI033,-0.06412706017613717,-0.09452053024768019,-0.04424109084172119,-0.023619584177891242,120,0.717
SI034,-0.06827665472529469,-0.10343548520504703,-0.04469737731841318,-0.02721979720839647,117,0.735
SI035,-0.06647661547869671,-0.10392043200125081,-0.04393959731213644,-0.02428851610441702,117,0.726
SI036,-0.0738284894499687,-0.09493027444826366,-0.05482618130722688,-0.029820627557324002,115,0.774
SI037,-0.07459648809573256,-0.11745196214930931,-0.051130977248813166,-0.02769918372906643,115,0.748
SI038,-0.07756249607866464,-0.09770031484250336,-0.051944544824423775,-0.027619233263275235,120,0.75
