NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
SI031,-0.032453796069978356,-0.046202535453009105,-0.02319918215584418,-0.011834508000064706,111,0.694
SI032,-0.031174925848681832,-0.041648065997625244,-0.019459982807191023,-0.012125978915201386,118,0.695
SI033,-0.03406960818246906,-0.04249141008161386,-0.021581340702481366,-0.01137122996213943,111,0.703
SI034,-0.03362890871417484,-0.04545318869770203,-0.025162834722019023,-0.012350442639545451,113,0.717
SI035,-0.031929013141315694,-0.04244846643477484,-0.022007443517433844,-0.013512094076429854,115,0.73
SI036,-0.03470099440439297,-0.04817986006968799,-0.024646247300681948,-0.010890585608390005,110,0.709
SI037,-0.036942459710474225,-0.049077147077492715,-0.027477928535771988,-0.013326117481073627,107,0.729
SI038,-0.041595318327170026,-0.05732335116022519,-0.03175458095086791,-0.016611447736733623,111,0.793
SI041,-0.03392550857862707,-0.04593738612134565,-0.025475816001459678,-0.012437955265325241,115,0.713
SI042,-0.03515881531255459,-0.04534557845159701,-0.025370626229143413,-0.013741297561618737,113,0.743
SI043,-0.0350137950916857,-0.04633324694090815,-0.02604240702550979,-0.012937502934180474,117,0.718
SI044,-0.03684113593236058,-0.047713422935836025,-0.026930699250943543,-0.012014170415129099,119,0.723
