NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
HU110,-25.410211367709397,-25.410211367709397,-25.410211367709397,-25.410211367709397,1,1.0
HU120,-0.02485019030159681,-0.03407818913761264,-0.018764360482515896,-0.007507302987191176,99,0.444
HU211,-0.031771069116860395,-0.0430491321419755,-0.019011044499177402,-0.00928260542983243,105,0.457
HU212,-10.008907150917514,-12.266713167030016,-10.008907150917514,-7.751101134805012,2,1.0
HU213,-0.02669690570606343,-0.03306277936443583,-0.017371213155014737,-0.006137623489082115,83,0.434
HU221,-0.021299071547929555,-0.028945056881941357,-0.013945536508080282,-0.006869721489337184,99,0.354
HU222,-0.04248982386600888,-0.060675426003517774,-0.03147228387829286,-0.012305188190640649,102,0.598
HU223,-0.06777139167454055,-0.10785380805575942,-0.03745707554617089,-0.01440195605045182,100,0.66
HU231,-0.08005858426790885,-0.1604971873757187,-0.027793995728576864,-0.008247293764179126,96,0.552
HU232,-0.0247730320007871,-0.03535629056672571,-0.018614131578306686,-0.005765530896470972,73,0.452
HU233,-0.5077469289218458,-0.5969295468302344,-0.3669351915188475,-0.23963541797979393,27,0.963
HU311,-0.0484657222809777,-0.07412876098732202,-0.02911585462316646,-0.011568492649546607,97,0.588
HU312,-0.03290824201257375,-0.04665757409126802,-0.019576353660156767,-0.011517317479286766,70,0.457
HU313,-0.6407491453644882,-0.8132476088496303,-0.42903820399151193,-0.23902115112612218,22,1.0
HU321,-0.021348861590335732,-0.030608440259049553,-0.015662740946247793,-0.007398732047312104,57,0.333
HU322,-0.05211562703685203,-0.08023458577913017,-0.03516790209870476,-0.016816892546207347,109,0.661
HU323,-0.04830558617519421,-0.06662322068846083,-0.028810233554914636,-0.014812179502463711,97,0.588
HU331,-0.07562004068385692,-0.11050048506134191,-0.048117119696709475,-0.01848521454956155,95,0.674
HU332,-0.06500904068966575,-0.08581206762343815,-0.03642983117047482,-0.021830852238954795,100,0.75
HU333,-0.07581626309594199,-0.09730748552129767,-0.04886653213942257,-0.02707744177176469,101,0.782
