NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
BG314,-0.04391515313699188,-0.06474932260423029,-0.03684950553631888,-0.011734045018402462,116,0.698
BG331,-0.044897304264811255,-0.06367344354921536,-0.03639660669442983,-0.017953867716605176,119,0.756
BG334,-0.04497655459719217,-0.06253272352846097,-0.03219519970128003,-0.01894976386184928,112,0.786
BG311,-0.05144655335997513,-0.07327777202317429,-0.038252835685668576,-0.02293564777574095,112,0.804
BG312,-0.048716532007310374,-0.06437266771498101,-0.0370757610821075,-0.019557821485034543,106,0.83
BG313,-0.04817666599890861,-0.06554289619333584,-0.0351541907013748,-0.019598664741397334,107,0.785
BG332,-0.04551061718533282,-0.06322690001211416,-0.034215445546635484,-0.019388683886214893,113,0.788
BG333,-0.04314608830469663,-0.05961347419398526,-0.030490314144837126,-0.01803036889446064,122,0.787
BG412,-0.044991816031058715,-0.0583542283154993,-0.03102465523502509,-0.01967368359740706,115,0.817
BG341,-0.04576383393777878,-0.05221040903136926,-0.028963117561938447,-0.017264638567991066,114,0.763
BG325,-0.04749765850559467,-0.05774049560257971,-0.03386115925506318,-0.01888815126271006,119,0.782
BG344,-0.046789973169895034,-0.05716866046966955,-0.028588394363512543,-0.01662330622844084,119,0.748
BG411,-0.045784206645646135,-0.052138803808427,-0.030805868338833874,-0.017133473171975555,120,0.75
BG323,-0.04230435203535634,-0.05435899027936589,-0.030994665684859875,-0.016178969299842468,117,0.744
BG425,-0.04078760884687763,-0.05024200205229039,-0.028419512722283193,-0.016163840796491587,123,0.74
BG342,-0.039733917067030604,-0.0441731833508254,-0.029171422394037104,-0.014698109971520983,123,0.732
BG343,-0.03857779648777916,-0.0447681576392762,-0.02667880359799902,-0.016032340822591775,125,0.728
BG422,-0.03850788385447635,-0.049048652710861264,-0.0267086124242152,-0.013201954225717356,121,0.694
BG324,-0.040996750614569734,-0.06050890766209479,-0.030807483355101195,-0.014589855437048934,116,0.724
BG423,-0.041173912022907634,-0.05825463777737443,-0.030559095730109856,-0.018592475929777717,114,0.772
BG424,-0.03473185037841073,-0.05040627951856842,-0.026474346542506258,-0.012171787621601673,124,0.685
BG322,-0.04510918742948244,-0.0586250953996957,-0.03168971083911187,-0.019885821258973414,110,0.782
BG315,-0.03964324792535627,-0.05893661421178542,-0.026794609619378035,-0.015225225653764817,117,0.692
BG321,-0.03479676519779463,-0.04333331508957726,-0.027939504022851495,-0.013686168607988314,119,0.689
BG415,-0.03925519561056626,-0.04530465740250032,-0.02711692682911178,-0.015448454229260562,114,0.728
BG413,-0.03497050540985808,-0.04654302774762048,-0.02789769007530428,-0.012065424441937152,122,0.68
BG414,-0.03459445116430823,-0.046620183829485205,-0.023913049520900093,-0.01400240104800413,113,0.664
BG421,-0.03966680860023616,-0.050407690023059566,-0.028937156967288623,-0.017407507989422477,112,0.768
