NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
ES111,-0.13894845996658506,-0.20632478145711963,-0.11324665879550237,-0.04901316420629566,65,0.846
ES112,-0.11464544722961535,-0.15850111075698609,-0.07778539001487861,-0.043524322967191484,79,0.835
ES113,-0.13421904079667846,-0.1644562245477836,-0.07777228918154991,-0.04774988946362341,69,0.826
ES114,-0.12664612773959819,-0.17887190018400453,-0.08523777412994821,-0.042532133436770155,72,0.819
ES120,-0.12188771373078627,-0.19627142224828792,-0.10959650603069415,-0.03449772308809666,65,0.769
ES130,-0.12180348692168552,-0.2044388333709371,-0.10352299597292122,-0.031928866665677715,73,0.767
ES211,-0.09138313054056804,-0.1321309565016107,-0.06551068334703337,-0.03729032689174759,101,0.792
ES212,-0.11670963975369834,-0.18299992546389743,-0.07368114134061152,-0.03945199330251836,85,0.824
ES213,-0.1236454928641312,-0.19650810047540407,-0.07761812941216341,-0.04446734712954794,80,0.825
ES220,-0.1210110710434844,-0.1980299864029707,-0.08141491887216662,-0.03368138227644483,76,0.763
ES230,-0.18577481844681393,-0.2800998547114541,-0.1487775044081412,-0.05654770927955004,65,0.831
ES241,-0.13388594884256175,-0.21024996534931922,-0.10429939873089975,-0.04497819769056322,76,0.829
ES242,-0.17906989701114692,-0.2532337041956177,-0.10744996028545546,-0.05740221532554423,69,0.841
ES243,-0.15153839856944096,-0.21006545620069783,-0.11102008274841402,-0.041225443906720144,69,0.826
ES300,-0.16506336336668181,-0.21095287698273688,-0.09481257622563272,-0.06075900960176985,68,0.853
ES411,-0.22947387401432154,-0.3560145625920677,-0.16918223108062597,-0.07836278615384276,55,0.909
ES412,-0.12752503681858393,-0.18680676448731723,-0.08119226771770519,-0.040414263666319825,81,0.815
ES413,-0.17033385276542368,-0.19687855630810336,-0.09434848048675001,-0.05628520756513976,59,0.847
ES414,-0.23620689711652246,-0.2805415931672178,-0.1549547765062688,-0.06952831108160182,49,0.939
ES415,-0.29846808070309006,-0.39364958084602314,-0.21203064389205395,-0.08443674881168316,43,0.977
ES416,-0.14402509191185642,-0.15727412838259924,-0.08439044617766558,-0.03861994760498105,71,0.831
ES417,-0.2076451837629097,-0.29801292469765317,-0.1223849485074862,-0.06365773252508278,55,0.855
ES418,-0.20812603708657737,-0.25512807955048145,-0.11588984711252859,-0.04500567567221604,54,0.852
ES419,-0.2266505331668686,-0.2870878561822046,-0.13218150512883028,-0.07117555894370604,49,0.878
ES421,,,,,0,0.0
ES422,-0.05266345230778454,-0.07686723256556958,-0.0457067277634972,-0.021402388658769332,54,0.63
ES423,-0.02333056731563806,-0.02445929813406316,-0.01934240804690672,-0.012757084633137449,20,0.2
ES424,-0.02865633561040988,-0.03822679205496063,-0.021660079299984723,-0.011852693367034296,72,0.389
ES425,-0.08366181430614418,-0.14400477762306807,-0.037777018213197386,-0.010159889961367652,100,0.53
ES431,-0.08327658888626865,-0.11130990092547755,-0.060631301943446174,-0.02789296919097596,103,0.718
ES432,-0.037399742011949795,-0.05016303228137259,-0.034987310922536416,-0.015655018359014915,98,0.551
ES511,-0.4433669100690798,-0.570948818257615,-0.5254147045890273,-0.45571053436258857,48,0.875
ES512,-0.24188566505695624,-0.4271430216103687,-0.32054989359827013,-0.017481516529021995,70,0.657
ES513,-0.3190440453697069,-0.4012089672052731,-0.3624112661713543,-0.31258723922425835,47,0.894
ES514,-2.432201368377015,-3.6090944480089138,-1.5199284681480858,-1.286952446796388,12,1.0
ES521,-0.7404038901521908,-1.1797839817645501,-0.471705391019935,-0.21991413023636125,27,1.0
ES522,-0.5005722851644552,-0.6611030024700537,-0.4248197961325788,-0.2806234046101987,37,1.0
ES523,-0.8085619055287917,-1.2342873988882272,-0.6273249873127135,-0.5585917626289527,31,0.968
ES531,-37.51939229954729,-37.51939229954729,-37.51939229954729,-37.51939229954729,1,1.0
ES532,-4.5647398911990615,-7.119889781367967,-4.458076648364383,-1.6000672969340792,6,1.0
ES533,-35.713442359084254,-35.713442359084254,-35.713442359084254,-35.713442359084254,1,1.0
ES611,-33.19907887145572,-33.19907887145572,-33.19907887145572,-33.19907887145572,1,1.0
ES612,-28.96853559125879,-28.96853559125879,-28.96853559125879,-28.96853559125879,1,1.0
ES613,-0.18137940527968047,-0.2863504642822418,-0.23679704462959777,-0.026574847447529252,65,0.708
ES614,-0.309425390472369,-0.4239420243861108,-0.3802010883147853,-0.039214152878962544,55,0.8
ES615,-0.39634135822390754,-0.5347511299287759,-0.4534989300010772,-0.06599207940198805,52,0.923
ES616,-0.1433698852201348,-0.24656716990597727,-0.13199846705441515,-0.044034770798138695,69,0.87
ES617,-0.18679877532232222,-0.3183931321482905,-0.24432732718674183,-0.035816197249963475,73,0.795
ES618,-0.21832878545110865,-0.3334547240988759,-0.2735741443202562,-0.02798070413719408,58,0.724
ES620,-0.9669474315627297,-1.2804273878620078,-0.6247816154755219,-0.5026596987742262,22,1.0
