NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
CH011,-0.07473941380937553,-0.09954165234220166,-0.061811860727414764,-0.029448052130858517,84,0.917,1.0,0.711,0.652,4
CH012,-0.06868071594979465,-0.10651142115171905,-0.05025416035424472,-0.025210729002132927,92,0.87,0.533,0.705,0.327,2
CH013,-0.07846271144672194,-0.12268180383008098,-0.06701339990282204,-0.03290798238577686,90,0.922,0.56,0.7,0.361,2
CH021,-0.04530884204631031,-0.0685772442714425,-0.030566521636788153,-0.014094677293006673,109,0.734,0.13,0.757,0.072,1
CH022,-0.06604824410427272,-0.09777983890099876,-0.0484917913234975,-0.020422607701877774,89,0.831,0.427,0.287,0.102,1
CH023,-0.05017516080235647,-0.07834837846198868,-0.03372203226265215,-0.01649498546314747,107,0.757,0.39,0.753,0.222,2
CH024,-0.0512647550952524,-0.07075830378002294,-0.04537294337225174,-0.020217769603151622,109,0.835,0.021,0.01,0.0,0
CH025,-0.05537481794142189,-0.07360094428348832,-0.04037958171345418,-0.022341832448967234,104,0.837,0.129,0.689,0.074,1
CH031,-0.051549527263598446,-0.07882687637394846,-0.03597466822001362,-0.013561983207906605,98,0.694,0.503,0.899,0.314,2
CH032,-0.05017516080235647,-0.07834837846198868,-0.03372203226265215,-0.01649498546314747,107,0.757,0.639,0.694,0.336,2
CH033,-0.05473128112901297,-0.07499360229007192,-0.046562278749207334,-0.022700803068424282,102,0.833,0.968,0.546,0.44,3
CH040,-0.044002890538400986,-0.06602825449359345,-0.031327085941212224,-0.014941202148925078,110,0.745,1.0,1.0,0.745,4
CH051,-0.052051184569052875,-0.07178316738703693,-0.03868000060259895,-0.02106078555356389,106,0.83,0.694,0.736,0.424,3
CH052,-0.051133712461137695,-0.07095215794767977,-0.0424842158622326,-0.019268534736922714,106,0.811,0.625,0.754,0.382,2
CH053,-0.05082641766465061,-0.07549639351264424,-0.04026394494199678,-0.013749418114032744,106,0.726,0.188,0.89,0.121,1
CH054,-0.05082641766465061,-0.07549639351264424,-0.04026394494199678,-0.013749418114032744,106,0.726,0.673,0.761,0.372,2
CH055,-0.05807344257565888,-0.07835920582472364,-0.043102090789315824,-0.02393232811603431,101,0.842,0.399,0.807,0.271,2
CH056,-0.054055599654571004,-0.0713753898929954,-0.04185613227676158,-0.01957107563160366,115,0.791,0.152,0.048,0.006,1
CH057,-0.043538686495690364,-0.061761688131837786,-0.032257003656434254,-0.013546775612484106,110,0.709,0.908,0.804,0.518,3
CH061,-0.0411677978804419,-0.06310618934897574,-0.029578743603020048,-0.012960790739845346,101,0.693,0.695,0.798,0.384,2
CH062,-0.045197429947541626,-0.05689495404524837,-0.03543971309170091,-0.018737873754665277,123,0.78,1.0,0.661,0.516,3
CH063,-0.04441669079201935,-0.06433739146590386,-0.036865546691911194,-0.014925509942288213,101,0.743,1.0,0.944,0.701,4
CH064,-0.04596514371082499,-0.05987118297854791,-0.036141536832244296,-0.01598441017329809,100,0.77,0.317,0.628,0.153,1
CH065,-0.03609962035741688,-0.047954082886137124,-0.03024400522962025,-0.015034739248986026,116,0.75,0.735,0.881,0.486,3
CH066,-0.044969645892380665,-0.06871528016946789,-0.03209120743784014,-0.012770222582612557,105,0.714,0.603,0.808,0.348,2
CH070,-0.06437780784323094,-0.10040228259910404,-0.04621361311661696,-0.019737759016342865,103,0.786,0.659,0.711,0.368,2
