NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
EL513,-0.08896382119797679,-0.11734510411868943,-0.0663918606645879,-0.03738611787258529,98,0.847,0.509,0.257,0.111,1
EL514,-0.07277045356594124,-0.09844722445571122,-0.04829505019965507,-0.02481909165719721,105,0.752,0.24,0.324,0.058,1
EL515,-0.0975203803162995,-0.12252607985735485,-0.0679594570909369,-0.038310724541257696,87,0.839,0.386,0.851,0.276,2
EL521,-0.1126192670668671,-0.14295421929928823,-0.07763772213530482,-0.039135325881670416,82,0.854,0.24,0.157,0.032,1
EL522,-0.14426842963498665,-0.20324196312681342,-0.09281089402846446,-0.04986066499849322,74,0.838,0.24,0.35,0.07,1
EL523,-0.12980342932270889,-0.1798142294396509,-0.08772949127765006,-0.047381128530520226,80,0.838,0.428,0.151,0.054,1
EL524,-0.12403388015605844,-0.15443744842023588,-0.08530906722845624,-0.04042819419326947,79,0.835,0.731,0.214,0.131,1
EL525,-1.6716292396575994,-2.180418548756095,-1.3244901886388407,-1.288998123047469,16,1.0,1.0,0.484,0.484,3
EL526,-0.2556272273600733,-0.3832693261264066,-0.3105022736239365,-0.04027492760758977,57,0.807,0.24,0.554,0.107,1
EL527,-0.2319024248359357,-0.33745122223302204,-0.24076009735525783,-0.02790566446411786,57,0.789,0.707,0.16,0.089,1
EL531,-0.03715418333559632,-0.05204838447296571,-0.01888937612864182,-0.00701224371629747,83,0.446,0.87,0.819,0.318,2
EL532,-0.6181426196006323,-0.6018760014527716,-0.5497652773766171,-0.25472828815113363,36,0.861,0.417,0.398,0.143,1
EL533,-0.06211390807510143,-0.09243405335866497,-0.033103397268195986,-0.010449273144370313,94,0.574,0.828,0.422,0.201,2
EL541,-0.25530002204240865,-0.3583247888045639,-0.2584496382009898,-0.04197757145905224,60,0.95,0.509,0.48,0.232,2
EL542,-0.04982657065329918,-0.06878377851164952,-0.049070793214532483,-0.030432408363136244,48,0.812,0.609,0.138,0.068,1
EL543,-0.052568174193623494,-0.07296453809061572,-0.051006371772810435,-0.02706409393772869,49,0.755,0.455,0.534,0.183,1
EL611,-0.0268904507267665,-0.033469796592579704,-0.023925076664687264,-0.012777506760961194,51,0.471,0.589,0.301,0.084,1
EL612,-0.0905490706057091,-0.11722567245567359,-0.06943318021090521,-0.031773209341289146,93,0.817,0.563,0.985,0.453,3
EL613,-0.05149888829683882,-0.08043945674560281,-0.03743361391747742,-0.01746922255640422,92,0.663,0.607,0.422,0.17,1
EL621,-13.990602724296632,-16.04193776036112,-13.990602724296632,-11.939267688232146,2,1.0,0.619,0.801,0.496,3
EL622,-0.09782912585897759,-0.13559740837585724,-0.08507011505779656,-0.03724348889668737,81,0.877,0.261,0.205,0.047,1
EL623,-0.355085788663823,-0.3830244065074181,-0.2753896972668526,-0.17105006900976677,37,0.973,0.543,0.188,0.099,1
EL624,-30.669102673444318,-30.669102673444318,-30.669102673444318,-30.669102673444318,1,1.0,0.479,0.181,0.087,1
EL631,-0.1330993614478804,-0.20068681599954852,-0.13881759485231196,-0.03866527524031135,69,0.797,0.874,0.137,0.095,1
EL632,-0.17264105552675874,-0.2554098707937875,-0.20807120813979552,-0.03577717506702979,60,0.8,0.45,0.245,0.088,1
EL633,-0.9546566553874738,-1.5161754404867611,-0.5169425053151191,-0.42767048708112,19,1.0,0.924,0.978,0.904,5
EL641,-0.013662384552181293,-0.02029105133502818,-0.010904919503866402,-0.005288883866049574,33,0.152,1.0,0.985,0.15,1
EL642,-0.08613521150826843,-0.15737288249132614,-0.051846465051533855,-0.01927943445430116,100,0.73,0.792,1.0,0.578,3
EL643,-0.03982189278620586,-0.05809997013054325,-0.03329368407546321,-0.01288514954577219,97,0.557,0.511,0.86,0.245,2
EL644,-0.015476007859387512,-0.01822459018002383,-0.010153473278200438,-0.005263326304898468,33,0.212,0.556,0.98,0.116,1
EL645,-11.499959411243875,-14.082770977868172,-11.499959411243875,-8.917147844619576,2,1.0,0.413,0.864,0.357,2
EL651,-0.033801360471794606,-0.04256705580635442,-0.032108313370064645,-0.01675190596687021,80,0.65,0.509,0.66,0.218,2
EL652,-0.5269506161592871,-0.6154808405065335,-0.3931111160404328,-0.08136925986109737,34,0.941,0.497,0.643,0.301,2
EL653,-0.044396410468710325,-0.06054489213584116,-0.04534990177198994,-0.02712524225815001,54,0.815,0.505,0.43,0.177,1
