NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
AL011,-0.07969655681301316,-0.1199190539372926,-0.05134725674466475,-0.021482580350566986,90,0.644
AL012,-33.91198256832388,-33.91198256832388,-33.91198256832388,-33.91198256832388,1,1.0
AL013,-0.02431140356262493,-0.036200170420150904,-0.015728613753231716,-0.007512480052183284,64,0.297
AL014,-7.371973145164376,-9.288214962099893,-4.476463598323606,-4.007976554808476,3,1.0
AL015,-0.0031029260845489262,-0.0031029260845489262,-0.0031029260845489262,-0.0031029260845489262,1,0.05
AL021,-0.11435677204602301,-0.1695927635781952,-0.08217929188914408,-0.04104486698169824,76,0.855
AL022,-0.12281991442560707,-0.17879437969765388,-0.08322311207577232,-0.043124850993089645,77,0.844
AL031,-2.301582143729455,-3.813353758001123,-2.3457182446232174,-0.4903754315242488,8,1.0
AL032,-0.16389683503330618,-0.22232469805598415,-0.12334410304596011,-0.08085797807840592,62,0.903
AL033,-0.039387556503658855,-0.05490190764855761,-0.029630025877078855,-0.013084446430115361,78,0.513
AL034,-0.0851400121757862,-0.1435923871214363,-0.050433029513954286,-0.019040315328207283,96,0.615
AL035,-0.37286686383754986,-0.39352493175253517,-0.24697193471071052,-0.12053031817241452,36,0.917
