NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
CH011,-0.04778501735083437,-0.06676262821864262,-0.037951934875674574,-0.017312393721277065,101,0.792
CH012,-0.048520143879500155,-0.0721167862609636,-0.03581215501953502,-0.017161946948246604,109,0.817
CH013,-0.054701363239482985,-0.07285338753607278,-0.0407890784942465,-0.020730232161502833,103,0.854
CH021,-0.03126808170506575,-0.04350247119590963,-0.025850569118122297,-0.012130905961748973,117,0.718
CH022,-0.04028974573825555,-0.05341118397151488,-0.03260550581295729,-0.01578701120187539,108,0.796
CH023,-0.03481902532213137,-0.04559168816398666,-0.02904351199618868,-0.013310337443679411,115,0.748
CH024,-0.03693591797794202,-0.050763427628367885,-0.026110695883546284,-0.01276657977011163,115,0.73
CH025,-0.0380542899564912,-0.049594744697261384,-0.03534523781309269,-0.016720119301290443,114,0.825
CH031,-0.030104446871275767,-0.03928627402492249,-0.023543953054449077,-0.013202668877870511,117,0.744
CH032,-0.03481902532213137,-0.04559168816398666,-0.02904351199618868,-0.013310337443679411,115,0.748
CH033,-0.03709487023095742,-0.0503956798115505,-0.032018566336083625,-0.01274213328624054,117,0.726
CH040,-0.030642325204151978,-0.04374414357722593,-0.026891101339341347,-0.0121857597000687,119,0.723
CH051,-0.04169975164856522,-0.06556811917006189,-0.028260745609615487,-0.017963635829251784,113,0.796
CH052,-0.032952837978738304,-0.05071662556641095,-0.02757763864554085,-0.012518324112575488,126,0.714
CH053,-0.04337251029760585,-0.06182560189494546,-0.03904229756437537,-0.015800605454719837,101,0.792
CH054,-0.04337251029760585,-0.06182560189494546,-0.03904229756437537,-0.015800605454719837,101,0.792
CH055,-0.050396904581463085,-0.07241022256456606,-0.036143124975641046,-0.019220805827953928,99,0.848
CH056,-0.04381541499347795,-0.0572759076538007,-0.037121698171914276,-0.019441505860349224,120,0.85
CH057,-0.03199185348564096,-0.04663433700033216,-0.02650035211499442,-0.013077060240601379,115,0.73
CH061,-0.030826930733205308,-0.04517818372733044,-0.02776161900574323,-0.010882499618767244,110,0.7
CH062,-0.03656857646289559,-0.048773886585353,-0.0303909885084798,-0.016731900217149976,132,0.818
CH063,-0.0317501331412229,-0.041112261452215096,-0.024576578463799875,-0.012734443260179713,115,0.73
CH064,-0.03889246780290645,-0.05775025180093838,-0.030230744977236247,-0.01593116534540747,102,0.784
CH065,-0.02877669159199004,-0.038757202008463686,-0.020795702087843267,-0.011433424829574804,128,0.664
CH066,-0.0338400383548117,-0.05074205696328327,-0.029195784337524525,-0.013075056534230096,111,0.739
CH070,-0.04733608917159342,-0.0672395159175436,-0.03939199488499065,-0.019045067664430232,120,0.825
