NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
UKC11,0.0,0.0,0.0,0.0,0,0.05
UKC12,-0.28705334710433733,-0.36248300996438704,-0.23406835570311546,-0.08625741011207615,42,0.857
UKC13,-31.03739590274448,-31.03739590274448,-31.03739590274448,-31.03739590274448,1,1.0
UKC14,0.0,0.0,0.0,0.0,0,0.05
UKC21,-0.01921303573231944,-0.02645560390884901,-0.017964722887670228,-0.007892060555883129,37,0.054
UKC22,-22.102371866274975,-22.102371866274975,-22.102371866274975,-22.102371866274975,1,1.0
UKC23,-0.04566451735547867,-0.07769434615039161,-0.02960663186194356,-0.012088067148289128,89,0.416
UKD11,-0.05160251763020819,-0.07925423915316153,-0.05365268769103608,-0.021412722912592348,54,0.63
UKD12,0.0,0.0,0.0,0.0,0,0.05
UKD33,-0.15218062938063623,-0.24218354535168343,-0.19939997973176748,-0.01653048598089552,62,0.661
UKD34,-0.19111762064770324,-0.2845186535686486,-0.2518688987918557,-0.025717697815713578,58,0.707
UKD35,-19.23939278883135,-19.23939278883135,-19.23939278883135,-19.23939278883135,1,1.0
UKD36,-22.51378062108252,-22.51378062108252,-22.51378062108252,-22.51378062108252,1,1.0
UKD37,-0.10749468276596776,-0.17585699383278122,-0.13575112259717562,-0.02089207416337488,69,0.609
UKD41,-0.42821807085545527,-0.6561258222547498,-0.3335832080114072,-0.2703307127175464,32,0.812
UKD42,-33.41682810750478,-33.41682810750478,-33.41682810750478,-33.41682810750478,1,1.0
UKD44,-0.013860379991029506,-0.024532855520450193,-0.006271075880282666,-0.0045984507610053035,5,0.05
UKD45,-0.09190135945139365,-0.1517748415304058,-0.11155030487640256,-0.016913562496645648,65,0.615
UKD46,-0.24881650222424598,-0.3064648358135853,-0.26564351809480613,-0.06414789711477417,47,0.809
UKD47,-0.04682387419797167,-0.07434717973839242,-0.044562454560148325,-0.012779519827736379,61,0.525
UKD61,-0.09810669726826947,-0.1559002770471542,-0.11944066428183052,-0.019950166298831763,62,0.645
UKD62,-0.026484629855332332,-0.037987030159119105,-0.025665835700338945,-0.011617137680854256,48,0.083
UKD63,-0.03158190368217896,-0.04584683345697388,-0.03003039214565957,-0.014248246033025045,48,0.333
UKD71,0.0,0.0,0.0,0.0,0,0.05
UKD72,-0.061566868177940805,-0.09200328630748361,-0.06599401311861842,-0.018267287589468773,57,0.649
