NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
RO111,-0.036001001984735825,-0.0481585842952672,-0.017859360066447415,-0.008962427735082133,98,0.388
RO112,-0.024082320222222533,-0.031173886620820903,-0.018768054284508513,-0.009551011356568368,112,0.375
RO113,-0.026726254721786698,-0.03392624230716121,-0.01881681757052215,-0.011664100672844086,70,0.329
RO114,-0.01757061291670169,-0.02267577454615719,-0.013373920660570532,-0.005486423203072452,60,0.183
RO115,-0.07007615251854153,-0.10370990925713293,-0.0413360536331152,-0.024446891460869636,87,0.678
RO116,-0.16332448333062136,-0.2526919637835986,-0.20318405278785756,-0.038596074576064496,60,0.8
RO121,-0.01978381180111039,-0.026203788880503516,-0.016066294168017255,-0.006543430403284672,77,0.234
RO122,-0.009458464104652144,-0.013713641437225574,-0.010470739275399208,-0.006636673178144944,10,0.05
RO123,-0.1899839862464979,-0.2318261123441895,-0.12612592386916252,-0.05807475422152419,54,0.944
RO124,-0.10685012063540597,-0.17150553138327848,-0.10877443189028359,-0.02497764742687426,73,0.74
RO125,-0.012716608159996041,-0.018571144911548244,-0.008265080995044893,-0.0024879477398106467,32,0.094
RO126,-0.012669544819942804,-0.02178665990232119,-0.010816432478986462,-0.0033374389350898288,30,0.167
RO211,-0.0363259111418141,-0.04805954649498163,-0.028399524960279792,-0.014110018168242049,110,0.518
RO212,-0.06293401160530752,-0.08633819511358548,-0.04482875587125603,-0.023376657630318272,102,0.716
RO213,-0.05540871361447753,-0.07202690738696425,-0.047150063625378144,-0.019505167629684756,93,0.656
RO214,-0.08220235345971201,-0.11970828361287716,-0.06766220677710177,-0.026259956401678997,91,0.725
RO215,-0.0438058552116921,-0.06734576783358584,-0.0459217568289753,-0.016776902615054455,55,0.655
RO216,-0.43427435238741957,-0.41822106527409464,-0.2694848431109228,-0.19468122044493802,34,1.0
RO221,-0.2929415810630911,-0.41681893807651704,-0.262798806145911,-0.0866899419170575,47,0.936
RO222,-0.05735867284347677,-0.08272126780076118,-0.038293829092223786,-0.018044473861481673,110,0.609
RO223,0.0,0.0,0.0,0.0,0,0.05
RO224,-0.02461836369874515,-0.03624283763739918,-0.02180001853709373,-0.009055898688618065,88,0.386
RO225,-0.55101139031372,-0.6655928365697784,-0.38617568792514045,-0.11312226051470975,29,0.931
RO226,-0.05929951419087447,-0.07192027390842923,-0.043609321819849264,-0.016900053534981346,109,0.688
RO311,-0.4103891875174576,-0.5457083840458716,-0.3097490490878889,-0.18822185596591534,32,0.875
RO312,-0.07273244428352087,-0.11288484021280032,-0.03835303259597961,-0.021468604524371375,100,0.68
RO313,-0.06633590641977831,-0.09116783732539324,-0.046135058168366105,-0.015333868254493243,104,0.635
RO314,-8.28377752111029,-12.110931408735665,-8.211668324988363,-4.42056903542395,3,1.0
RO315,-0.4760054699673088,-0.5922855425233778,-0.3753719906562066,-0.14673306548962178,31,0.968
RO316,-1.0703407405480279,-1.3500221718838223,-0.7699163159244966,-0.40109230354682956,16,1.0
RO317,-1.180920958584413,-1.8909061071571023,-0.8974454996654316,-0.4613106561691688,15,1.0
RO321,-36.42909391652375,-36.42909391652375,-36.42909391652375,-36.42909391652375,1,1.0
RO322,-4.31957957240754,-5.222685064602,-3.2239630576411473,-2.7881796301035946,6,1.0
RO411,-0.5716340407517386,-0.8512212157720511,-0.42913036908224594,-0.2768303310357015,29,0.966
RO412,-0.23016843782001886,-0.3155939833986479,-0.22871329943592092,-0.043503516725489605,52,0.923
RO413,-0.04613394740759945,-0.07981339565019785,-0.022130548878748484,-0.008823202623047373,99,0.455
RO414,-0.10685422756144038,-0.18061087559829636,-0.06639245839295925,-0.03317680037654765,88,0.807
RO415,-0.09367539766620094,-0.17027765506769027,-0.04393192237216802,-0.018180045854110705,86,0.616
RO421,-0.040846377307819905,-0.05466653127099297,-0.023593133122543485,-0.008975539177689802,107,0.449
RO422,-0.026399145825862155,-0.038090508690381,-0.025755677766941196,-0.014699098747274032,13,0.462
RO423,-0.055210556869360376,-0.088650640184027,-0.025965525799110253,-0.01253230380466312,94,0.489
RO424,-0.044297903573558554,-0.07968762063098322,-0.021859976127251116,-0.008868107569837901,94,0.426
